Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402400.8894885,4406.361118179846,99.94404733792463,1.73212807e-07
764402400.8895885,4406.856186985089,107.83656336959356,1.7306559e-07
764402400.8896885,4407.351255791906,94.76903056694213,1.72908315e-07
764402400.8897885,4407.84632460077,96.69022021796356,1.72750675e-07
764402400.8898885,4408.341393412091,92.35824477455094,1.72587583e-07
764402400.8899885,4408.836462224097,102.6119515927412,1.72441772e-07
764402400.8900886,4409.331531037672,104.59768261113877,1.72287283e-07
764402400.8901886,4409.826599852818,97.92640118927947,1.72132698e-07
764402400.8902886,4410.321668669531,105.33199611588495,1.71979352e-07
764402400.8903886,4410.8167374873365,105.31524246690748,1.71822161e-07
764402400.8904886,4411.31180630671,101.3832900950201,1.71671145e-07
764402400.8905886,4411.806875128536,103.11432222034081,1.7151924e-07
764402400.8906887,4412.301943951044,108.10208996347853,1.71367434e-07
764402400.8907887,4412.797012775117,102.90036313888112,1.71211304e-07
764402400.8908887,4413.292081600757,97.27590154505255,1.71056975e-07
764402400.8909887,4413.787150427961,100.5379954958326,1.70906135e-07
764402400.8910887,4414.282219256731,106.82756965145217,1.70749288e-07
764402400.8911887,4414.777288087541,96.25569797576715,1.70598015e-07
764402400.8912888,4415.272356920801,103.10551534615118,1.70445949e-07
764402400.8913888,4415.767425754738,101.44813289141177,1.70293552e-07
764402400.8914888,4416.262494590237,106.39041728050815,1.70137526e-07
764402400.8915888,4416.757563427299,101.17894134813105,1.69981887e-07
764402400.8916888,4417.252632265445,101.48876823649097,1.69833472e-07
764402400.8917888,4417.747701105152,102.61479781399619,1.69677463e-07
764402400.8918889,4418.242769946421,105.76398359400052,1.69528515e-07
764402400.8919889,4418.7378387901335,108.42218575135767,1.6937749e-07
764402400.8920889,4419.23290763452,108.61997503676173,1.69225957e-07
764402400.8921889,4419.727976480467,104.80537367345859,1.69070452e-07
764402400.8922889,4420.22304532693,98.2507479750506,1.68914797e-07
764402400.8923889,4420.71811417495,102.04370017495309,1.68761704e-07
764402400.892489,4421.2131830250055,99.22944850073539,1.68610362e-07
764402400.892589,4421.708251877504,105.92376698076887,1.68460732e-07
764402400.892689,4422.203320730671,92.75163572967145,1.6830217e-07
764402400.892789,4422.698389586437,95.89885183516412,1.68147368e-07
764402400.892889,4423.193458443758,93.88770066673696,1.67996781e-07
764402400.892989,4423.688527302632,97.69886854125109,1.67849179e-07
764402400.893089,4424.183596162585,103.5962762949592,1.67705346e-07
764402400.8931891,4424.678665024091,90.45981896337446,1.67544358e-07
764402400.8932891,4425.173733888036,101.21772830199845,1.67403687e-07
